p,o,f,g,sp,plant,week,sample,rh,prcp,tempavg,tempmax,smobs,seqct
Ascomycota,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Venturiales,Venturiaceae,Apiosporina,Apiosporina morbosa,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Venturiales,Venturiaceae,Apiosporina,Apiosporina morbosa,#9,1,#9.1,68.5,0.32,73.1,89,0,8
Ascomycota,Capnodiales,incertae sedis,Arthrocatena,Arthrocatena tenebrio,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Capnodiales,incertae sedis,Arthrocatena,Arthrocatena tenebrio,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Helotiales,Helotiaceae,Articulospora,Articulospora sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Helotiales,Helotiaceae,Articulospora,Articulospora sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. ,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,1
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,1
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,12
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,2
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,1
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,#11,1,#11.1,68.5,0.32,73.1,89,0,36
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium leucospermi,#11,1,#11.1,68.5,0.32,73.1,89,0,0
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,4
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,10
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,#9,1,#9.1,68.5,0.32,73.1,89,0,10
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,5
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,6
Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. ,#9,1,#9.1,68.5,0.32,73.1,89,0,8
