OTU ,phylum,order,family,genus,bin
denovo36897,Ascomycota,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp.
denovo10705,Ascomycota,Venturiales,Venturiaceae,Apiosporina,Apiosporina morbosa
denovo2124,Ascomycota,Capnodiales,incertae sedis,Arthrocatena,Arthrocatena tenebrio
denovo9380,Ascomycota,Helotiales,Helotiaceae,Articulospora,Articulospora sp.
denovo36541,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.
denovo23071,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.
denovo9944,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.
denovo36990,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. 
denovo12378,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. 
denovo1116,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp. 
denovo31396,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.
denovo28117,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.
denovo16331,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo1682,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo28796,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo30012,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo34065,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo13889,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo19347,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo19770,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo6830,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo25652,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo23827,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo36070,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo15970,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo1593,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo16222,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo28994,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo30907,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans
denovo8616,Ascomycota,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium leucospermi
denovo2292,Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa sp.
denovo34733,Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa sp.
denovo8720,Ascomycota,Chaetothyriales,Trichomeriaceae,Bradymyces,Bradymyces sp.
denovo27827,Basidiomycota,Buckleyzymales,Buckleyzymaceae,Buckleyzyma ,Buckleyzyma aurantiaca
denovo27369,Basidiomycota,Buckleyzymales,Buckleyzymaceae,Buckleyzyma ,Buckleyzyma sp.
denovo10823,Basidiomycota,Tremellales,Bulleribasidiaceae,Bullera,Bullera coprosmae
denovo2086,Basidiomycota,Tremellales,Bulleribasidiaceae,Bullera,Bullera oryzae
denovo30355,Basidiomycota,Tremellales,Bulleraceae,Bullera,Bullera alba
denovo34223,Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium sp.
denovo19471,Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium sp.
denovo1076,Basidiomycota,Tremellales,Bulleribasidiaceae,Bulleribasidium,Bulleribasidium oberjochense
denovo11521,Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae
denovo5549,Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae
denovo11665,Ascomycota,Helotiales,Dermateaceae,Calloria,Calloria urticae
denovo5939,Ascomycota,Pleosporales,Pleosporales incertae sedis,Camarographium,Camarographium sp. 
denovo17139,Ascomycota,Pleosporales,Pleosporales incertae sedis,Camarographium,Camarographium sp. 
denovo35837,Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Capnobotryella,Capnobotyrella sp.
denovo9635,Ascomycota,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora tetragoniae
denovo26144,Ascomycota,Pleosporales,Phaeosphaeriaceae,Chaetosphaeronema,Chaetosphaeronema sp. 
denovo26055,Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.
denovo6544,Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.
denovo7674,Ascomycota,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp.
denovo13295,Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. 
denovo13568,Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. 
denovo16973,Ascomycota,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium sp. 
denovo24635,Basidiomycota,Agaricales,Crepidotaceae,Crepidotus,Crepidotus novae-zealandiae
denovo12108,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. 
denovo30031,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. 
denovo18396,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. 
denovo8925,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.
denovo11947,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.
denovo13723,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp. 
denovo24191,Basidiomycota,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus sp.
denovo12134,Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia sp.
denovo11853,Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia coatesiae
denovo13565,Ascomycota,Pleosporales,Pleosporaceae,Curvularia,Curvularia clavata
denovo22071,Basidiomycota,Tremellales,Bulleribasidiaceae,Derxomyces,Derxomyces simaoensis
denovo27624,Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.
denovo5551,Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.
denovo21878,Ascomycota,Mycosphaerellales,Teratosphaeriaceae,Devriesia,Devriesia sp.
denovo23351,Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella sp.
denovo2618,Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella sp. 
denovo30584,Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis
denovo14997,Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis
denovo15099,Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella pinodella
denovo34792,Ascomycota,Pleosporales,Didymellaceae,Didymella,Didymella bellidis
denovo35545,Basidiomycota,Tremellales,Naemateliaceae,Dimennazyma,Dimennazyma cisti-albidi
denovo763,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. 
denovo34805,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. 
denovo31870,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.
denovo22953,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.
denovo14203,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. 
denovo1579,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.
denovo5567,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia changbaiensis
denovo17413,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia zsoltii
denovo33564,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungaria
denovo8004,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia catarinonii
denovo8487,Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia takashimae
denovo9764,Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia sp. 
denovo9280,Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora maculans
denovo20468,Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora prunorum
denovo35807,Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria
denovo28806,Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria
denovo13898,Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothoriella gregaria
denovo35875,Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.
denovo36456,Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.
denovo26537,Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.
denovo29802,Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum
denovo25587,Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum
denovo19206,Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium sp.
denovo28367,Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium yunnanense
denovo2375,Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium sp.
denovo26084,Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
denovo26836,Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
denovo27502,Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
denovo28524,Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasium wieringae
denovo20085,Basidiomycota,Tremellales,Bulleraceae,Fonsecazyma,Fonsecazyma sp.
denovo26224,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria sp.
denovo22459,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria sp.
denovo10602,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica
denovo17901,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica
denovo30457,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica
denovo34524,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica
denovo7891,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica
denovo9460,Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica
denovo22237,Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella sp.
denovo29370,Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella sinensis
denovo31589,Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella zeae
denovo2150,Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola
denovo1014,Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola
denovo34494,Ascomycota,Dothideales,Dothioraceae,Hormonema,Hormonema prunorum
